,Announced Size
1445,Production of 60 kt e-CH4/y
1446,Production of 130 kt e-CH4/y
1447,400 MW
1448,1GW
1449,600MW
1450,60 MW electrolyser - 40 kt MeOH/y
1451,1 GW
1452,20 MW
1453,3000 t H2/y production
1454,500kt NH3/y production
1455,100MW
1456,2 kt H2/y
1457,21MW
1458,10MW - 4.6 million litres synthetic kerosene per year
1459,125t H2/d - 300MW
1460,125t H2/d - 300MW
1461,25MW
1462,250t H2/d - 600MW
1463,125 kt NH3/y production
1464,
1465,500t H2/d
1466,1GW
1467,1GW
1468,200MW
1469,5MW
1470,20MW
1471,10MW
1472,20MW
1473,15MW
1474,20MW
1475,15MW
1476,60MW
1477,9MW
1478,1GW
1479,1MW
1480,150MW
1481,55 t H2/d production
1482,0.2 Mt NH3/y production
1483,13-15 kt H2/y
1484,500MW
1485,850kt NH3/y production
1486,600MW -240t H2/d production
1487,300MW
1488,15-25 MW
1489,250 kt NH3/y
1490,800 kt NH3/y
1491,14000MW
1492,5.4GW
1493,"35 kt e-fuels (part of hydrogen supply, impoted)"
1494,1 Mt NH3/y production
1495,700MW
1496,5GW
1497,"3MW or 1,000kg H2 /d "
1498,200t H2/day production
1499,250 MW
1500,36 MW
1501,240 kW
1502,300 t H2/y + 1700 t NH3/y
1503,600MW
1504,1Mt NH3/y
1505,1GW
1506,7GW
1507,500MW
1508,
1509,500 MW - 260 ktpa e-methanol
1510,1GW
1511,140MW or 100 kt NH3/y
1512,5MW
1513,100kW
1514,1MW
1515,
1516,1.5Mt CO2 captured
1517,1 GW H2 - 1.8 Gt CO2
1518,
1519,0.55Mt CO2/y
1520,1.05MW-1.8 Mt CO2/y
1521,
1522,
1523,
1524,0.7Mt CO2/y (part for CCU)
1525,0.2Mt CO2/y - 30000 Nm3 H2/h
1526,0.8Mt CO2/y
1527,3500t NH3/d
1528,1.2-1.4 Mt NH3/y
1529,0.5Mt CO2/y
1530,2.2Mt CO2/y - 1.1 Mt NH3/y
1531,0.5Mt CO2/y
1532,12Mt CO2/y - 7.2 Mt NH3/y
1533,0.45Mt CO2/y - 0.6Mt NH3/y
1534,0.25Mt CO2/y - 0.4 Mt NH3/y
1535,0.1Mt CO2/y
1536,
1537,10Mt CO2/y
1538,
1539,1.4Mt CO2/y
1540,1.66Mt CO2/y
1541,
1542,
1543,5 Mt steel/y (production)
1544,120MW
1545,10MW
1546,8MW
1547,
1548,
1549,9.2GW
1550,300-1000MW
1551,5MWor 1.2t H2/d (production)
1552,220kt H2/y (production)
1553,50MW
1554,5MW
1555,
1556,343MW
1557,1GW
1558,20MW
1559,
1560,15MW
1561,300MW
1562,1.4MW
1563,200MW
1564,405 kt H2/y (production)
1565,20MW
1566,200MW
1567,30MW
1568,90MW
1569,115MW
1570,1.3-1.5 Mt NH3/y (production)
1571,26816 t H2/y
1572,384 t H2/y
1573,10000 t H2/y
1574,5445 t H2/y
1575,22300 t H2/y
1576,60MW
1577,800 kt NH3/y (production)
1578,"8000 t H2/y, capacity"
1579,9MW
1580,30 t H2/d (production)
1581,60 t H2/d (production)
1582,115 t H2/d (production)
1583,200kt NH3/d (production)
1584,
1585,
1586,
1587,1.2Mt NH3/d (production)
1588,10MW
1589,1.2 Mt NH3/y (production)
1590,250MW
1591,75MW
1592,150MW
1593,500MW
1594,1GW
1595,150MW
1596,3GW
1597,30MW
1598,200MW
1599,50MW
1600,2.5Mt steel
1601,100kt MeOH/y production
1602,250kt Mt NH3/y (production)
1603,
1604,10MW
1605,
1606,1.2-1.4 Mt NH3/y
1607,35MW
1608,500MW
1609,3GW
1610,560MW
1611,"400MW or 0,28-0,3 Mt NH3 production"
1612,10GW or 8 Mt NH3 production
1613,"300MW or 240,000 t/yr NH3"
1614,20MW
1615,270MW
1616,400MW or 40kt H2/y production
1617,25MW
1618,100MW
1619,
1620,50kt H2/y production
1621,100MW
1622,1GW
1623,7.8kt H2/y
1624,1GW
1625,600MW
1626,15MW
1627,100MW
1628,10MW
1629,7.2 kt H2/y (production)
1630,840MW
1631,200kt MeOH/y
1632,100 million litres of mthanol/y (production)
1633,120MW
1634,675MW
1635,100kt MeOH/y
1636,200MW
1637,2GW
1638,135MW
1639,10MW
1640,1GW
1641,100 kt NH3/y production
1642,600 kt NH3/y production
1643,1000MW
1644,10MW
1645,4 kt NH3/d (production)
1646,
1647,160MW
1648,40MW
1649,1.46 kt NH3/y production
1650,3.3 kt H2/y (production)
1651,10MW
1652,1MW
1653,50MW
1654,225 kt H2/y (production)
1655,66 kt MeOH/y (production)
1656,70 kt MeOH/y (production)
1657,130MW
1658,400MW
1659,
1660,35 kt H2/y (production_
1661,300MW
1662,300kt H2/y
1663,18 kt H2/y (production)
1664,2.5-10 kt H2/y
1665,50-100 kt H2/y
1666,6kt NH3/d - 2.87 Mt CO2/y
1667,4.5GW
1668,35 kt H2/y (production)
1669,2 Mt NH3/y (Production)
1670,800MW
1671,800MW
1672,213MW
1673,100MW
1674,27-30 Kt H2/y (production)
1675,500MW
1676,210MW
1677, 459000 t NH3/y production
1678,2500 t H2/yr production
1679,12MW
1680,15 t H2/d production
1681,
1682,1.4GW or 1.2 Mt NH3/y production
1683,945MW or 820 kt NH3/y
1684,12 kt H2/y production
1685,2MW
1686,1MW
1687,1MW
1688,150MW
1689,
1690,10 kt H2/y (production)
1691,100 kt H2/y (production)
1692,30MW
1693,30 kt DRI
1694,22.5MW
1695,25MW
1696,150 kt NH3/y (Production)
1697,1.6 kt H2/y
1698,45t H2/d
1699,15MW
1700,390kt MeOH/y
1701,70MW
1702,5MW
1703,
1704,30MW
1705,
1706,
1707,
1708,
1709,
1710,16MW
1711,
1712,1 Mt NH3/y production
1713,
1714,
1715,225 t H2/y production
1716,
1717,400kW
1718,10MW
1719,2MW
1720,80MW
1721,
1722,50MW
1723,20MW
1724,530MW or 200k t NH3/year production
1725,1Mt H2/y production
1726,50MW
1727,250kW
1728,80MW
1729,10 kt H2/y production - 15x1000 Nm3/h units
1730,40000 gallons/y (production)
1731,1.5GW
1732,"70,000 Nm3/h"
1733,2.5MW
1734,
1735,2.5MW
1736,120MW
1737,300MW
1738,2MW
1739,1MW
1740,10-20GW
1741,2.2 Mt H2/y (production)
1742,100MW
1743,3.6GW
1744,0.5MW
1745,4MW
1746,42MW
1747,420MW
1748,1MW
1749,2MW
1750,2MW
1751,2MW
1752,2MW
1753,2MW
1754,85MW
1755,
1756,5-7.5MW
1757,5MW
1758,2100 Nm3 H2/h
1759,1200MW
1760,
1761,2000MW H2 - 3.6 Gt CO2/y
1762,4MW
1763,800MW
1764,90MW
1765,600MW
1766,2.5MW
1767,50MW
1768,100MW
1769,1MW
1770,10MW
1771,100MW
1772,300 Kg H2/d production
1773,900 t H2/y production
1774,100MW
1775,
1776,700 kt NH3/y production
1777,1500t H2/d - 3 Mt CO2/y
1778,47 Nm3H2/h
1779,30MW - 100 ton urea/ day
1780,"2,3 MW"
1781,5 MW
1782,1 MW
1783,3 GW
1784,27814 Nm3H2/h
1785,
1786,2 MW
1787,212766 Nm2H2/h
1788,40 MW
1789,234043 Nm3H2/h
1790,"1,2 MW"
1791,1000 MW
1792,165 kW
1793,6MW
1794,48 t H2/y production
1795,1 t H2/d production
1796,25kW
1797,750 kt NH3/y production
1798,172 kt NH3/y production
1799,20MW
1800,
1801,
1802,0.02MW
1803,290 kt NH3/y production
1804,500 kt NH3/y production
1805,0.7MW
1806,1MW
1807,0.7MW
1808,3MW
1809,2 MW
1810,2.3 MW
1811,0.9MW
1812,245293 Nm3/h
1813,3500 MW
1814,40 MW
1815,7607 Nm3/h
1816,2300 MW
1817,120 MW
1818,200MW
1819,200MW
1820,300MW
1821,400MW
1822,500MW
1823,40MW
1824,2 MW
1825,2MW
1826,200MW
1827,10MW
1828,10MW
1829,20MW
1830,5MW
1831,5MW
1832,9MW
1833,200MW
1834,400MW
1835,200MW
1836,400MW
1837,10MW
1838,30MW
1839,60MW
1840,5MW or 110 t H2/y production
1841,1 MW
1842,1 MW
1843,
1844,
1845,210 MW
1846,3000 t H2/y production
1847,250 MW
1848,1MW
1849,
1850,0.25MW
1851,6MW
1852,4 MW
1853,4 MW
1854,3 MW
1855,1 MW
1856,300 t H2/ y
1857,1 MW
1858,0.35MW
1859,0.15MW
1860,
1861,24MW
1862,36 t H2/y capacity
1863,25 t H2/y capacity
1864,200MW
1865,100MW
1866,17 MW or 25kt MeOH/y
1867,40 MW or 35 kt e-CH4/y
1868,120MW
1869,60MW
1870,40MW
1871,40MW
1872,20MW
1873,20MW
1874,4.3MW
1875,2.5MW
1876,2MW
1877,100 MW
1878,5 MW
1879,4 MW
1880,6.6 MW
1881,400 MW
1882,0.34 MW
1883,1 MW
1884,600MW
1885,21 ktH2/y - 450 kt CO2/y
1886,
1887,24MW
1888,0.7MW
1889,0.125MW
1890,200 kt H2/y production
1891,1000 kt H2/y production
1892,365 t H2/y production
1893,94.9 t H2/y production
1894,5 kt H2/y production
1895,3232.47 t H2/y production
1896,7.3 t H2/y production
1897,129.3 kt H2/y production
1898,180 kt H2/y production
1899,19.4 t H2/y production
1900,300 kt H2/y production
1901,370 t H2/y production
1902,52.56 kt H2/y production
1903,125 kt H2/y production
1904,75 t H2/y production
1905,3.65 t H2/y production
1906,3.8 kt H2/y production
1907,200 kt H2/y production
1908,0.73 t H2/y production
1909,21.9 kt H2/y production
1910,5 kt H2/y production
1911,29.2 t H2/y production
1912,16.43 t H2/y production
1913,64.02 t H2/y production
1914,50 kt H2/y production
1915,808.12 t H2/y production
1916,5 kt H2/y production
1917,547.5 kt H2/y production
1918,52 t H2/y production
1919,46.68 t H2/y production
1920,2628  t H2/y production
1921,2 kt H2/y production
1922,10 t H2/y production
1923,3650 t H2/y production
1924,365 t H2/y production
1925,0.85 t H2/y production
1926,36.5 t H2/y production
1927,1569 t H2/y production
1928,720 t H2/y production
1929,4 kt H2/y production
1930,4.5kg/h
1931,45.5kg/h
1932,52kt H2/y
1933,1200MW
1934,1GW
1935,70MW
1936,130MW
1937,270MW
1938,400kt MeOH/y
1939,1.2Mt NH3/y (production)
1940,0.5MW
1941,2.7 Mt DRI
1942,5Mt Steel
1943,250 kt NH3 production
1944,5GW
1945,
1946,200 kt H2/y production
1947,1 GW or 700 kt NH3/y
1948,1 GW
1949,250MW or 70 kt synfuels/y capacity
1950,1GW or 500 kt synfuels/y 
1951,90MW
1952,12MW
1953,1GW or 200 kt synfuels/y 
1954,500 kt NH3/y production
1955,30 kt H2/y or 120 kt NH3/y capacity
1956,44kt H2/y
1957,352MW
1958,4kt H2/d
1959,100MW
1960,500MW
1961,200MW
1962,500MW
1963,1GW
1964,1Mt NH3/y
1965,
1966,2x2.5GW
1967,2x2.5GW
1968,2x2.5GW
1969,4x2.5GW
1970,640MW
1971,130MW
1972,10 Mt NH3 production
1973,"912,5 kt NH3/y"
1974,250kW
1975,500MW
1976,350 kt  H2/y production
1977,1 kt  H2/y production
1978,5 kt  H2/y production
1979,0.5 kt  H2/y production
1980,5 kt  H2/y production
1981,35t H2/day production
1982,35 kt H2/y 
1983,200MW
1984,1GW
1985,2.5MW
1986,320MW
1987,1MW
1988,10 Mt NH3 production
1989,1.1 Mt NH3/y production
