,Announced Size
308,0.11MW
309,2MW
310,10m3 H2/h
311,2MW
312,
313,
314,
315,0.3MW
316,60m3 H2/h
317,0.007MW
318,0.0025MW
319,
320,
321,0.3MW
322,2m3 H2/h
323,60m3 H2/h
324,0.3m3 H2/h
325,
326,0.3MW - 60m3 H2/h
327,0.3MW - 60m3 H2/h
328,0.3MW - 60m3 H2/h
329,0.1MW
330,10m3 H2/h
331,0.025MW
332,0.01MW
333,
334,
335,60m3 H2/h
336,0.25MW
337,35m3 H2/h
338,13m3 H2/h
339,0.015MW
340,1m3 H2/h
341,100kt CO2/y
342,0.15MW - 37.5m3 H2/h
343,0.135MW
344,10m3 H2/h
345,10m3 H2/h
346,0.05MW
347,0.041MW
348,6.3 Nm3 H2/h
349,1MW - 200m3 H2/h
350,0.005MW
351,0.0036MW
352,0.0034MW
353,0.7 Nm3 H2/h
354,0.5 Nm3 H2/h
355,1.25MW
356,0.001MW
357,0.05m3 H2/h
358,
359,
360,0.3MW
361,0.099MW
362,0.04MW
363,0.0065MW
364,0.006MW
365,
366,1000m3 H2/h - 1440t MeOH
367,2MW
368,1-10MW
369,1MW - 200m3 H2/h
370,1MW
371,900000 t CO2/y
372,200000-300000 t CO2/y
373,900000t CO2/y - 151000m3 H2/h
374,12m3 H2/h
375,100000t CO2/y - 4500kg H2/h
376,1100000t CO2/y - 300 kt H2/y
377,
378,
379,0.12MW
380,1.3MW
381,20MW - 8t H2/d
382,10MW
383,140kt H2/y - 0.77 Mt CO2/y
384,4.3 t H2/d
385,3.1MW
386,3.5MW
387,56t H2/y - 600kW
388,2.5MW - 500m3 H2/h
389,2 x 1.25MW - 450m3 H2/h
390,10MW
391,1.25MW
392,1.25MW
393,1 MW
394,0.02MW
395,0.5MW
396,0.22MW
397,12kg H2/d
398,10m3 H2/h
399,2m3 H2/h
400,
401,1300000t CO2/y
402,300000t CO2/y
403,
404,
405,1m3 H2/h
406,
407,
408,1.5MW
409,500MW
410,10MW
411,10 kt H2/y - production
412,50MW
413,300MW
414,150W
415,0.001MW
416,
417,
418,
419,1.4MW
420,1MW
421,1MW
422,"30t H2/d (only part from biogas, but at least 1/3)"
423,1 MW - 750000 l MeOH/y
424,200MW
425,1MW
426,2.5MW
427,
428,0.06MW
429,200MW
430,1.6 MW - 185 Nm3/h
431,53 MW
432,12000kg H2/d
433,5MW
434,5kt H2/y
435,275kt NH3/y
436,360MW (in addition to the 230MW included in Ref 776)
437,5MW
438,1.7t H2/d
439,5-10MW
440,2.5MW
441,1475 t/yr H2 
442,2MW
443,1.5MW - 250m3 H2/h
444,1.3MW
445,0.25MW
446,1MW
447,4.39 Mt CO2/y - 770 tH2/d
448,1300000t CO2/y - 100 kt H2/y
449,600000t CO2/y
450,0.25MW
451,0.175MW
452,0.2MW
453,10MW
454,300000t CO2/y
455,100t H2/y
456,310MW
457,200MW
458,200MW
459,23t H2/d - 55MW
460,30MW
461,20MW
462,10MW
463,4200000t CO2/y
464,60MW
465,100MW
466,500MW
467,1300000t CO2/y
468,1650000t CO2/y - 336 tH2/d
469,
470,1000000t CO2/y - 100 kt/y
471,
472,
473,100MW
474,"6 MW, 1000 Nm3/h ALK + 200 Nm3/h PEM"
475,100 MW
476,
477,15kW
478,1.2 kg H2/d
479,1.2MW
480,
481,4MW
482,0.5MW
483,20kg H2/d
484,40MW
485,200MW
486,150MW - 1GW
487,700MW
488,600MW
489,25MW
490,300 MW
491,6MW
492,20MW
493,800 kg H2/day
494,250MW - 250kt NH3/y
495,2MW
496,50MW
497,0.67MW
498,100 MW
499,6000m3 H2/h
500,2600000t CO2/y - 300 kt H2/y
501,0.75MW
502,100MW
503,769MW
504,250kt H2/y production
505,300MW
506,0.3 MW - 60 Nm3 H2/h
507,500MW-420 ktnNH3/y
508,1 Nm3/h
509,5 MW
510,520MW
511,20MW
512,10MW
513,20MW
514,200MW
515,10 Nm3/h
516,88MW
517,500kt H2/y
518,10MW
519,75MW
520,200MW
521,10GW
522,28MW
523,200kt H2/y
524,3GW
525,0.4MW
526,20MW
527,10 MW
528,
529,80t H2/y
530,24MW
531,10MW
