Ref,Country,Date online,Status,Technology,Technology_electricity,Technology_electricity_details,Product,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,zero-carbon estimated normalized capacity [Nm³ H₂/hour]
809,AUS,2026,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,55,11957,9.3,,11957
811,DEU,2025,FID/Construction,ALK,Dedicated renewable,Onshore wind,H2,30,6522,5.1,,6522
812,NLD,2026,Feasibility study,ALK,Dedicated renewable,Offshore wind,Various,20,4348,3.4,,4348
813,AUT,2024,FID/Construction,PEM,Other/Unknown,,H2,10,1923,1.5,,1923
815,USA,2027,Feasibility study,Oil w CCUS,,,MeOH,,,,4200000,251351
818,NLD,2026,Feasibility study,ALK,Dedicated renewable,Offshore wind,Synfuels,40,8696,6.8,,8696
821,FRA,2029,Feasibility study,ALK,Grid,,H2,300,65217,50.8,,65217
823,NLD,2027,Feasibility study,NG w CCUS,,,H2,,,,1300000,162989
825,USA,2025,Feasibility study,Oil w CCUS,,,H2,,157303,122.6,1650000,98745
828,NLD,,Feasibility study,Biomass,,,H2,,,,,0
833,ESP,2026,Feasibility study,ALK,Grid,Others/Various,H2,100,21739,16.9,,21739
836,USA,2023,Operational,Biomass,,,H2,,562,0.4,,562
843,NLD,2030,Feasibility study,ALK,Dedicated renewable,Offshore wind,MeOH,40,8696,6.8,,8696
851,CHN,2022,Operational,ALK,Dedicated renewable,Onshore wind,H2,20,4348,3.4,,4348
861,NLD,2030,Feasibility study,NG w CCUS,,,H2,,256529,200,1300000,162989
862,BEL,2024,Feasibility study,ALK,Other/Unknown,,H2,0.75,163,0.1,,163
871,JPN,2020,Operational,PEM,Grid,,H2,0.0052,1,0,,1
872,GBR,2024,FID/Construction,ALK,Dedicated renewable,Others/Various,H2,5,1087,0.8,,1087
873,DEU,2026,Feasibility study,ALK,Grid,,H2,520,113043,88.1,,113043
874,ITA,2025,Feasibility study,PEM,Dedicated renewable,Others/Various,H2,20,3846,3,,3846
875,ITA,2025,Feasibility study,PEM,Dedicated renewable,Others/Various,H2,10,1923,1.5,,1923
880,AUS,2021,Operational,PEM,Dedicated renewable,Others/Various,H2,0.052,10,0,,10
881,CAN,2024,FID/Construction,ALK,Dedicated renewable,Others/Various,H2,88,19130,14.9,,19130
883,DNK,2024,FID/Construction,ALK,Dedicated renewable,Others/Various,Ammonia,10,2174,1.7,,2174
884,BEL,2025,Feasibility study,ALK,Dedicated renewable,Others/Various,CH4,75,16304,12.7,,16304
